CATEGORY,CND CODE,LEVEL,BOTTOM LEVEL YES/NO,CATEGORY DESCRIPTION ITALIAN,CND CODE DESCRIPTION ITALIAN,CATEGORY DESCRIPTION,CND CODE DESCRIPTION
A,A01010199,5,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI IPODERMICI - ALTRI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",HYPODERMIC NEEDLES - OTHER
A,A010102,4,NO,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI A FARFALLA,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",BUTTERFLY NEEDLES
A,A01010201,5,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI A FARFALLA CON SISTEMA DI SICUREZZA,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION","BUTTERFLY NEEDLES, WITH SAFETY SYSTEMS"
A,A01010202,5,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI A FARFALLA SENZA SISTEMA DI SICUREZZA,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION","BUTTERFLY NEEDLES, W/O SAFETY SYSTEMS"
A,A010103,4,NO,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER SISTEMI IMPIANTABILI (PORT),"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",NEEDLES AND KITS FOR IMPLANTABLE SYSTEMS (PORT)
A,A01010301,5,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER SISTEMI IMPIANTABILI (PORT) CON SISTEMA DI SICUREZZA,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION","NEEDLES AND KITS FOR IMPLANTABLE SYSTEMS (PORT), WITH SAFETY SYSTEMS"
A,A01010302,5,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER SISTEMI IMPIANTABILI (PORT) SENZA SISTEMA DI SICUREZZA,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION","NEEDLES AND KITS FOR IMPLANTABLE SYSTEMS (PORT), W/O SAFETY SYSTEMS"
A,A010104,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI PER PRELIEVO DA FLACONE,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",NEEDLES FOR VIAL COLLECTION  
A,A010105,4,NO,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI PER PRELIEVO SOTTO VUOTO,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",NEEDLES FOR COLLECTION UNDER VACUUM
A,A01010501,5,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI PER PRELIEVO SOTTO VUOTO CON SISTEMA DI SICUREZZA,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION","NEEDLES FOR COLLECTION UNDER VACUUM, WITH SAFETY SYSTEMS"
A,A01010502,5,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI PER PRELIEVO SOTTO VUOTO SENZA SISTEMA DI SICUREZZA,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION","NEEDLES FOR COLLECTION UNDER VACCUM, W/O SAFETY SYSTEMS"
A,A010106,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER FILLING RICOSTRUTTIVI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",NEEDLES AND KITS FOR RECONSTRUCTIVE FILLING
A,A010180,4,NO,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI PER INFUSIONE E PRELIEVO - ACCESSORI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",NEEDLES FOR INFUSION AND COLLECTION - ACCESSORIES
A,A01018001,5,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",CAMICIE PER AGHI PER PRELIEVI ,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",HOLDERS FOR COLLECTION NEEDLES
A,A01018099,5,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI PER INFUSIONE E PRELIEVO - ACCESSORI ALTRI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",NEEDLES FOR INFUSION AND COLLECTION - OTHER ACCESSORIES
A,A010199,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI PER INFUSIONE E PRELIEVO - ALTRI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",NEEDLES FOR INFUSION AND COLLECTION - OTHER
A,A0102,3,NO,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER BIOPSIA,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",BIOPSY NEEDLES AND KITS
A,A010201,4,NO,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER BIOPSIA ISTOLOGICA E CITOLOGICA DI TESSUTI MOLLI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",NEEDLES AND KITS - HISTOLOGICAL AND CYTOLOGICAL BIOPSY OF SOFT TISSUES
A,A01020101,5,NO,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER BIOPSIA TRANCIANTE,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",SHEARING BIOPSY NEEDLES AND KITS 
A,A0102010101,6,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI PER BIOPSIA TRANCIANTE ,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",SHEARING BIOPSY NEEDLES
A,A0102010102,6,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",PISTOLE PER BIOPSIA TRANCIANTE,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",SHEARING BIOPSY GUNS
A,A01020102,5,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER AGOASPIRAZIONE,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",ASPIRATION FINE NEEDLES AND KITS
A,A01020199,5,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER BIOPSIA ISTOLOGICA E CITOLOGICA DI TESSUTI MOLLI - ALTRI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",NEEDLES AND KITS FOR HISTOLOGICAL AND CYTOLOGICAL BIOPSY OF SOFT TISSUES - OTHER
A,A010202,4,NO,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER BIOPSIA OSTEO-MIDOLLARE,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",BONE MARROW BIOPSY NEEDLES AND KITS
A,A01020201,5,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER BIOPSIA ILIACO-STERNALE,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",ILIAC-STERNAL BIOPSY NEEDLES AND KITS
A,A01020202,5,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER ESPIANTO MIDOLLARE,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",BONE MARROW EXPLANT NEEDLES AND KITS
A,A01020203,5,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER BIOPSIA VERTEBRALE O PARAVERTEBRALE,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",VERTEBRAL AND PARAVERTEBRAL BIOPSY NEEDLES AND KITS
A,A01020204,5,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",KIT PER BIOPSIA OSSEA MOTORIZZATA,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",MOTORISED BONE BIOPSY KITS
A,A01020299,5,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER BIOPSIA OSTEO-MIDOLLARE - ALTRI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",NEEDLES AND KITS - BONE MARROW BIOPSY - OTHER
A,A010203,4,NO,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER BIOPSIA CUTANEA,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",CUTANEOUS BIOPSY NEEDLES AND KITS
A,A01020301,5,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI PER BIOPSIA CUTANEA,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",CUTANEOUS BIOPSY NEEDLES
A,A01020302,5,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA","PUNCH PER BIOPSIA CUTANEA, MONOUSO","DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION","CUTANEOUS BIOPSY PUNCHES, SINGLE-USE"
A,A01020303,5,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA","CURETTE PER BIOPSIA CUTANEA, MONOUSO","DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION","CUTANEOUS BIOPSY CURETTES, SINGLE-USE"
A,A01020399,5,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER BIOPSIA CUTANEA - ALTRI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",CUTANEOUS BIOPSY NEEDLES AND KITS - OTHER
A,A010204,4,NO,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER AMNIOCENTESI E VILLOCENTESI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",AMNIOCENTESIS AND VILLOCENTESIS NEEDLES AND KITS
A,A01020401,5,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER AMNIOCENTESI ,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",AMNIOCENTESIS NEEDLES AND KITS
A,A01020402,5,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER VILLOCENTESI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",VILLOCENTESIS NEEDLES AND KITS 
A,A010205,4,NO,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER BIOPSIA PERENDOSCOPICA (NON DELL'APPARATO DIGERENTE),"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",PERENDOSCOPIC BIOPSY NEEDLES AND KITS (NON-GASTROINTESTINAL APPARATUS)
A,A01020501,5,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER BIOPSIA BRONCHIALE PERENDOSCOPICA,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",PERENDOSCOPIC BRONCHIAL BIOPSY NEEDLES AND KITS
A,A01020502,5,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER BIOPSIA LAPARO- E TORACOSCOPICA,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",LAPAROSCOPIC AND THORACOSCOPIC BIOPSY NEEDLES AND KITS 
A,A01020599,5,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER BIOPSIA PERENDOSCOPICA (NON DELL'APPARATO DIGERENTE) - ALTRI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",PERENDOSCOPIC BIOPSY NEEDLES AND KITS (NON-GASTROINTESTINAL APPARATUS) - OTHER
A,A010206,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER BIOPSIA CEREBRALE,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",CEREBRAL BIOPSY NEEDLES AND KITS
A,A010207,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER BIOPSIA POLMONARE,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",PULMONARY BIOPSY NEEDLES AND KITS
A,A010299,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER BIOPSIA - ALTRI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",BIOPSY NEEDLES AND KITS - OTHER
A,A0103,3,NO,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER ANESTESIA,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",ANAESTHESIA NEEDLES AND KITS
A,A010301,4,NO,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER ANESTESIA SPINALE E PERIDURALE,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",SPINAL AND EPIDURAL ANAESTHESIA NEEDLES AND KITS
A,A01030101,5,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER ANESTESIA SPINALE,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",SPINAL ANAESTHESIA NEEDLES AND KITS 
A,A01030102,5,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER ANESTESIA PERIDURALE,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",EPIDURAL ANAESTHESIA NEEDLES AND KITS 
A,A01030103,5,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER ANESTESIA COMBINATA PERIDURALE E SPINALE,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",COMBINED EPIDURAL AND SPINAL ANAESTHESIA NEEDLES AND KITS 
A,A010302,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER BLOCCO DI PLESSO,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",PLEXUS BLOCK NEEDLES AND KITS 
A,A010399,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER ANESTESIA - ALTRI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",ANAESTHESIA NEEDLES AND KIT - OTHER
A,A0104,3,NO,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI PER DIALISI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",DIALYSIS NEEDLES
A,A010401,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI FISTOLA ARTERO-VENOSI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",ARTERIOVENOUS FISTULA NEEDLES
A,A010480,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI PER DIALISI - ACCESSORI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",DIALYSIS NEEDLES - ACCESSORIES
A,A010499,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI PER DIALISI - ALTRI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",DIALYSIS NEEDLES - OTHER
A,A0105,3,NO,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER INIEZIONE PER OFTALMOLOGIA,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",OPHTHALMOLOGY INJECTION NEEDLES AND KITS
A,A010501,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI DA CAMERA OCULARE ANTERIORE,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",ANTERIOR EYE CHAMBER NEEDLES 
A,A010502,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI PER IRRIGAZIONE OCULARE,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",EYE IRRIGATION NEEDLES
A,A010503,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI PERIBULBARI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",PERIBULBAR NEEDLES
A,A010504,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI RETROBULBARI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",RETROBULBAR NEEDLES
A,A010505,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI PER INIEZIONE ENDOCULARE,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",ENDOCULAR INJECTION NEEDLES
A,A010506,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI CANNULA PER ASPIRAZIONE ENDOCULARE,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",ENDOCULAR ASPIRATION CANNULA NEEDLES
A,A010599,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER INIEZIONE PER OFTALMOLOGIA - ALTRI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",OPHTHALMOLOGY INJECTION NEEDLES AND KITS - OTHER
A,A0106,3,NO,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER ODONTOIATRIA,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",DENTISTRY NEEDLES AND KITS
A,A010601,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI CARPULA,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",CARPULE NEEDLES
A,A010602,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI PER IRRIGAZIONE DENTALE,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",DENTAL IRRIGATION NEEDLES
A,A010699,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER ODONTOIATRIA - ALTRI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",DENTISTRY NEEDLES AND KITS - OTHER
A,A0180,3,NO,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI - ACCESSORI NON COMPRESI IN ALTRE CLASSI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",NEEDLES - ACCESSORIES NOT INCLUDED IN OTHER CLASSES
A,A018001,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",CAPPUCCI PER AGHI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",NEEDLE CAPS
A,A018002,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",GUIDE PER AGHI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",NEEDLE GUIDES
A,A018003,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",INTRODUTTORI PER AGHI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",NEEDLE INTRODUCERS
A,A018004,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",RACCORDI E ADATTATORI PER AGHI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",NEEDLE CONNECTORS AND ADAPTERS
A,A018005,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",CONTENITORI CONTA-AGHI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",NEEDLE COUNTING CONTAINERS
A,A018006,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",PENNE PER AGHI IPODERMICI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",HYPODERMIC NEEDLES PEN INJECTORS
A,A018099,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI - ACCESSORI ALTRI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",NEEDLES - OTHER ACCESSORIES
A,A0190,3,NO,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI PER PROCEDURE VARIE,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",NEEDLES FOR OTHER PROCEDURES
A,A019001,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI BOTTONUTI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",BLUNT NEEDLES
A,A019002,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI PER AGOPUNTURA,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",ACUPUNCTURE NEEDLES
A,A019003,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI PER ALCOOLIZZAZIONE,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",ALCOHOLISATION NEEDLES
A,A019004,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER COLANGIOGRAFIA A CIELO APERTO,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",OPEN SURGERY CHOLANGIOGRAPHY NEEDLES AND KITS
A,A019005,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER GALATTOGRAFIA,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",GALACTOGRAPHY NEEDLES AND KITS
A,A019006,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI PER MESOTERAPIA,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",MESOTHERAPY NEEDLES
A,A019007,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI E KIT PER SCLEROTERAPIA,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",SCLEROTHERAPY NEEDLES AND KITS
A,A019008,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI PER TATUAGGIO NON ENDOSCOPICO DURANTE PROCEDURE MEDICHE,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",MEDICAL PROCEDURES TATTOOING NEEDLES (NOT ENDOSCOPIC)
A,A019009,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI PER DRENAGGIO,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",DRAINAGE NEEDLES
A,A019010,4,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI PER ANGIOGRAFIA,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",ANGIOGRAPHY NEEDLES
